sec,nanosec,frame_id,steering_angle,steering_angle_velocity,speed,acceleration,jerk
1741043559,902149294,,0.0,0.0,0.9078994393348694,0.0,0.0
1741043559,922423436,,0.0,0.0,0.7007434964179993,0.0,0.0
1741043559,943863927,,0.0,0.0,0.5971655249595642,0.0,0.0
1741043560,4689265,,0.0,0.0,1.063266396522522,0.0,0.0
1741043560,46225880,,0.0,0.0,1.166844367980957,0.0,0.0
1741043560,66057970,,-0.01945638842880726,0.0,1.166844367980957,0.0,0.0
1741043560,76818663,,-0.03706464171409607,0.0,1.322365403175354,0.0,0.0
1741043560,93330556,,-0.06524833291769028,0.0,1.6330993175506592,0.0,0.0
1741043560,101161874,,-0.07581328600645065,0.0,1.6848883628845215,0.0,0.0
1741043560,111822407,,-0.14274561405181885,0.0,1.6848883628845215,0.0,0.0
1741043560,123085890,,-0.1673971712589264,0.0,1.8402552604675293,0.0,0.0
1741043560,135072134,,-0.223764568567276,0.0,1.8402552604675293,0.0,0.0
1741043560,147627823,,-0.24489447474479675,0.0,1.8402552604675293,0.0,0.0
1741043560,156208429,,-0.27307814359664917,0.0,1.8402552604675293,0.0,0.0
1741043560,178225823,,-0.28012144565582275,0.0,1.8402552604675293,0.0,0.0
1741043560,187980489,,-0.29068639874458313,0.0,1.8921984434127808,0.0,0.0
1741043560,207216220,,-0.301261842250824,0.0,1.9957764148712158,0.0,0.0
1741043560,238416402,,-0.301261842250824,0.0,2.047565460205078,0.0,0.0
1741043560,260008831,,-0.301261842250824,0.0,2.1511433124542236,0.0,0.0
1741043560,280896388,,-0.2625131905078888,0.0,2.1511433124542236,0.0,0.0
1741043560,290336427,,-0.23080787062644958,0.0,2.1511433124542236,0.0,0.0
1741043560,300705661,,-0.1673971712589264,0.0,2.1511433124542236,0.0,0.0
1741043560,312142746,,-0.11808358132839203,0.0,2.1511433124542236,0.0,0.0
1741043560,326623417,,-0.05116172507405281,0.0,2.1511433124542236,0.0,0.0
1741043560,333041535,,-0.005369783844798803,0.0,2.1511433124542236,0.0,0.0
1741043560,344121112,,0.0,0.0,2.1511433124542236,0.0,0.0
1741043560,394304958,,0.0,0.0,2.1511433124542236,0.0,0.0
1741043560,444725415,,0.0,0.0,2.1511433124542236,0.0,0.0
1741043560,506828431,,0.0,0.0,1.7366772890090942,0.0,0.0
1741043560,559780467,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043560,622445858,,0.08992084860801697,0.0,1.6330993175506592,0.0,0.0
1741043560,631593702,,0.16388601064682007,0.0,1.8921984434127808,0.0,0.0
1741043560,641819158,,0.19911301136016846,0.0,2.047565460205078,0.0,0.0
1741043560,653242067,,0.24842660129070282,0.0,2.047565460205078,0.0,0.0
