sec,nanosec,child_frame_id,orientation_x,orientation_y,orientation_z,orientation_w,,,,,,,,,,twist_angular_x,twist_angular_y,twist_angular_z,,,,,,,,,,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,,,,,,,,,
1741043632,604362710,base_link,0.052828599,-0.002391962,-0.998475492,0.015816046,0,0,0,0,0,0,0,0,0,2.868652344,-4.211425781,-76.72119141,0,0,0,0,0,0,0,0,0,-0.249023438,0.000976563,1.078613281,0,0,0,0,0,0,0,0,0
1741043632,622680605,base_link,0.053780627,-0.00268887,-0.998545766,0.002616248,0,0,0,0,0,0,0,0,0,6.774902344,-2.9296875,-75.37841797,0,0,0,0,0,0,0,0,0,-0.213867188,-0.001953125,1.074707031,0,0,0,0,0,0,0,0,0
1741043632,642659191,base_link,0.055444732308387756,-0.002575781,-0.998404384,-0.010395132,0,0,0,0,0,0,0,0,0,-2.746582031,4.577636719,-75.50048828,0,0,0,0,0,0,0,0,0,-0.135742188,0.03125,0.873535156,0,0,0,0,0,0,0,0,0
1741043632,663136246,base_link,0.05793377,-0.002337521,-0.998041868,-0.02346498,0,0,0,0,0,0,0,0,0,-0.915527344,2.563476563,-74.03564453,0,0,0,0,0,0,0,0,0,-0.176757813,0.016601563,1.033691406,0,0,0,0,0,0,0,0,0
1741043632,682819980,base_link,0.059332661,-0.001731098,-0.997566044,-0.036588449,0,0,0,0,0,0,0,0,0,-2.9296875,-4.516601563,-74.89013672,0,0,0,0,0,0,0,0,0,-0.2109375,0.023925781,1.088867188,0,0,0,0,0,0,0,0,0
1741043632,702475650,base_link,0.060582615435123444,-0.001903988,-0.996918082,-0.049804855,0,0,0,0,0,0,0,0,0,9.765625,16.47949219,-76.35498047,0,0,0,0,0,0,0,0,0,-0.067871094,-0.017089844,1.1015625,0,0,0,0,0,0,0,0,0
1741043632,723770954,base_link,0.061417285,-0.00300109,-0.99610883,-0.063136928,0,0,0,0,0,0,0,0,0,6.652832031,-1.098632813,-75.1953125,0,0,0,0,0,0,0,0,0,-0.188476563,0.036132813,0.989257813,0,0,0,0,0,0,0,0,0
1741043632,742712985,base_link,0.0623191,-0.00325438,-0.995124817,-0.076370925,0,0,0,0,0,0,0,0,0,-0.549316406,2.136230469,-77.51464844,0,0,0,0,0,0,0,0,0,-0.165527344,0.053710938,0.980957031,0,0,0,0,0,0,0,0,0
1741043632,763072054,base_link,0.06322518,-0.003618455,-0.993944764,-0.089795321,0,0,0,0,0,0,0,0,0,4.455566406,5.432128906,-76.35498047,0,0,0,0,0,0,0,0,0,-0.155761719,-0.013183594,1.040039063,0,0,0,0,0,0,0,0,0
1741043632,782840142,base_link,0.064638913,-0.003628695,-0.992560625,-0.103112236,0,0,0,0,0,0,0,0,0,1.953125,0.793457031,-76.171875,0,0,0,0,0,0,0,0,0,-0.189941406,0.018066406,0.958496094,0,0,0,0,0,0,0,0,0
1741043632,804345688,base_link,0.066291749,-0.004786923,-0.990955174,-0.116577342,0,0,0,0,0,0,0,0,0,4.089355469,5.737304688,-78.24707031,0,0,0,0,0,0,0,0,0,-0.138183594,0.002929688,0.999023438,0,0,0,0,0,0,0,0,0
1741043632,824348050,base_link,0.068575658,-0.005178755,-0.989105165,-0.130160168,0,0,0,0,0,0,0,0,0,0.366210938,4.760742188,-78.67431641,0,0,0,0,0,0,0,0,0,-0.172851563,0.010253906,0.963867188,0,0,0,0,0,0,0,0,0
1741043632,842674457,base_link,0.071013242,-0.005319574,-0.987027287,-0.143896028,0,0,0,0,0,0,0,0,0,2.807617188,2.685546875,-79.83398438,0,0,0,0,0,0,0,0,0,-0.1953125,0.004882813,1.005859375,0,0,0,0,0,0,0,0,0
1741043632,862538418,base_link,0.072571613,-0.005565979,-0.984854043,-0.157369211,0,0,0,0,0,0,0,0,0,6.34765625,-1.953125,-76.96533203,0,0,0,0,0,0,0,0,0,-0.236816406,-0.009765625,1.125488281,0,0,0,0,0,0,0,0,0
1741043632,882829231,base_link,0.073779151,-0.006137452,-0.982561111,-0.170565695,0,0,0,0,0,0,0,0,0,-0.671386719,4.638671875,-76.59912109,0,0,0,0,0,0,0,0,0,-0.156738281,0.02734375,0.934082031,0,0,0,0,0,0,0,0,0
1741043632,903638673,base_link,0.075354673,-0.006146931,-0.980053067,-0.183792859,0,0,0,0,0,0,0,0,0,-5.859375,6.591796875,-77.88085938,0,0,0,0,0,0,0,0,0,-0.170410156,0.022460938,0.874511719,0,0,0,0,0,0,0,0,0
1741043632,922741761,base_link,0.076456293,-0.005700206,-0.977414846,-0.196931645,0,0,0,0,0,0,0,0,0,4.638671875,-4.638671875,-76.66015625,0,0,0,0,0,0,0,0,0,-0.252929688,-0.020019531,1.060546875,0,0,0,0,0,0,0,0,0
1741043632,942623994,base_link,0.077264532,-0.006146142,-0.974640012,-0.209926799,0,0,0,0,0,0,0,0,0,5.859375,6.713867188,-75.74462891,0,0,0,0,0,0,0,0,0,-0.157714844,-0.007324219,1.07421875,0,0,0,0,0,0,0,0,0
1741043632,962969592,base_link,0.077369891,-0.00703918,-0.971762717,-0.222803995,0,0,0,0,0,0,0,0,0,4.760742188,-5.920410156,-74.95117188,0,0,0,0,0,0,0,0,0,-0.224609375,0.015625,0.973632813,0,0,0,0,0,0,0,0,0
1741043632,983770298,base_link,0.077877387,-0.007312442,-0.968782246,-0.235250235,0,0,0,0,0,0,0,0,0,-2.685546875,3.662109375,-74.09667969,0,0,0,0,0,0,0,0,0,-0.189453125,0.054199219,1.032714844,0,0,0,0,0,0,0,0,0
1741043633,2737161,base_link,0.078388818,-0.008255862,-0.965650499,-0.247600853,0,0,0,0,0,0,0,0,0,5.004882813,3.295898438,-73.48632813,0,0,0,0,0,0,0,0,0,-0.180175781,-0.00390625,1.114257813,0,0,0,0,0,0,0,0,0
1741043633,22810563,base_link,0.078847066,-0.009306112,-0.96237129,-0.259880841,0,0,0,0,0,0,0,0,0,6.34765625,0,-73.05908203,0,0,0,0,0,0,0,0,0,-0.194824219,0.012207031,0.989746094,0,0,0,0,0,0,0,0,0
1741043633,39351127,base_link,0.07940495,-0.010285528,-0.958862603,-0.272344828,0,0,0,0,0,0,0,0,0,2.258300781,12.08496094,-74.70703125,0,0,0,0,0,0,0,0,0,-0.092285156,0.03125,1.023925781,0,0,0,0,0,0,0,0,0
1741043633,58910828,base_link,0.080080025,-0.011104316,-0.955239534,-0.284572452,0,0,0,0,0,0,0,0,0,0.915527344,2.197265625,-74.52392578,0,0,0,0,0,0,0,0,0,-0.205566406,0.021972656,0.989746094,0,0,0,0,0,0,0,0,0
1741043633,82668975,base_link,0.080841281,-0.011929157,-0.951398194,-0.296924055,0,0,0,0,0,0,0,0,0,0.061035156,6.103515625,-75.01220703,0,0,0,0,0,0,0,0,0,-0.141113281,0.015625,0.961425781,0,0,0,0,0,0,0,0,0
1741043633,102623528,base_link,0.080910541,-0.012574793,-0.947457314,-0.309224874,0,0,0,0,0,0,0,0,0,3.845214844,-7.141113281,-74.95117188,0,0,0,0,0,0,0,0,0,-0.223632813,0.016601563,1.068847656,0,0,0,0,0,0,0,0,0
1741043633,122716867,base_link,0.079971485,-0.013693993,-0.943329096,-0.321787864,0,0,0,0,0,0,0,0,0,4.943847656,5.981445313,-77.20947266,0,0,0,0,0,0,0,0,0,-0.104492188,0.020507813,1.074707031,0,0,0,0,0,0,0,0,0
1741043633,142656956,base_link,0.079972006,-0.013650457,-0.938879251,-0.33455047,0,0,0,0,0,0,0,0,0,-4.028320313,2.380371094,-79.58984375,0,0,0,0,0,0,0,0,0,-0.126464844,0.04296875,0.8671875,0,0,0,0,0,0,0,0,0
1741043633,162987962,base_link,0.080515742,-0.014187281,-0.934134007,-0.347432792,0,0,0,0,0,0,0,0,0,2.746582031,2.502441406,-79.46777344,0,0,0,0,0,0,0,0,0,-0.169921875,-0.009765625,1.010253906,0,0,0,0,0,0,0,0,0
