# x_m,y_m,w_tr_right_m,w_tr_left_m
1.8800,-3.4300,0.4000,0.4000
1.8300,-3.4800,0.3500,0.3500
1.7800,-3.4800,0.3500,0.3500
1.7300,-3.4800,0.3500,0.3500
1.6800,-3.4800,0.3500,0.3500
1.6300,-3.4800,0.3500,0.3500
1.5800,-3.4800,0.3536,0.3536
1.5300,-3.5300,0.3162,0.3162
1.4800,-3.5300,0.3354,0.3354
1.4300,-3.5300,0.3500,0.3500
1.3800,-3.5300,0.3500,0.3500
1.3300,-3.5300,0.3500,0.3500
1.2800,-3.5800,0.3000,0.3000
1.2300,-3.5800,0.3000,0.3000
1.1800,-3.5800,0.3000,0.3000
1.1300,-3.5800,0.3000,0.3000
1.0800,-3.5800,0.3000,0.3000
1.0300,-3.5800,0.3000,0.3000
0.9800,-3.5800,0.3000,0.3000
0.9300,-3.5800,0.3041,0.3041
0.8800,-3.5800,0.3041,0.3041
0.8300,-3.5800,0.3000,0.3000
0.7800,-3.5800,0.3000,0.3000
0.7300,-3.5800,0.3000,0.3000
0.6800,-3.6300,0.3000,0.3000
0.6300,-3.6300,0.3000,0.3000
0.5800,-3.6300,0.3000,0.3000
0.5300,-3.6300,0.3000,0.3000
0.4800,-3.6300,0.3000,0.3000
0.4300,-3.6300,0.3041,0.3041
0.3800,-3.6300,0.3000,0.3000
0.3300,-3.6300,0.3000,0.3000
0.2800,-3.6300,0.3000,0.3000
0.2300,-3.6800,0.3000,0.3000
0.1800,-3.6800,0.3000,0.3000
0.1300,-3.6800,0.3000,0.3000
0.0800,-3.6800,0.3000,0.3000
0.0300,-3.6800,0.3041,0.3041
-0.0200,-3.6800,0.3000,0.3000
-0.0700,-3.6800,0.3000,0.3000
-0.1200,-3.6800,0.3000,0.3000
-0.1700,-3.6800,0.3000,0.3000
-0.2200,-3.7300,0.3000,0.3000
-0.2700,-3.7300,0.3000,0.3000
-0.3200,-3.7300,0.3000,0.3000
-0.3700,-3.7300,0.3000,0.3000
-0.4200,-3.7300,0.3041,0.3041
-0.4700,-3.7300,0.3000,0.3000
-0.5200,-3.7300,0.3000,0.3000
-0.5700,-3.7300,0.3000,0.3000
-0.6200,-3.7300,0.3000,0.3000
-0.6700,-3.7300,0.3000,0.3000
-0.7200,-3.7800,0.3000,0.3000
-0.7700,-3.7800,0.3041,0.3041
-0.8200,-3.7800,0.3162,0.3162
-0.8700,-3.7800,0.3354,0.3354
-0.9200,-3.7800,0.3500,0.3500
-0.9700,-3.7800,0.3500,0.3500
-1.0200,-3.7800,0.3500,0.3500
-1.0700,-3.8300,0.3000,0.3000
-1.1200,-3.8300,0.3000,0.3000
-1.1700,-3.8300,0.3000,0.3000
-1.2200,-3.8300,0.3000,0.3000
-1.2700,-3.8300,0.3000,0.3000
-1.3200,-3.8300,0.3041,0.3041
-1.3700,-3.8300,0.3162,0.3162
-1.4200,-3.8300,0.3354,0.3354
-1.4700,-3.8300,0.3500,0.3500
-1.5200,-3.8300,0.3500,0.3500
-1.5700,-3.8300,0.3354,0.3354
