# x_m,y_m,w_tr_right_m,w_tr_left_m
3.2800,-1.4200,0.5000,0.5000
3.2800,-1.3700,0.5025,0.5025
3.2800,-1.3200,0.5099,0.5099
3.2800,-1.2700,0.5220,0.5220
3.2800,-1.2200,0.5099,0.5099
3.2800,-1.1700,0.5025,0.5025
3.2300,-1.1200,0.5000,0.5000
3.2300,-1.0700,0.5000,0.5000
3.2300,-1.0200,0.5000,0.5000
3.2300,-0.9700,0.5025,0.5025
3.2300,-0.9200,0.5099,0.5099
3.2300,-0.8700,0.5025,0.5025
3.2300,-0.8200,0.5000,0.5000
3.2300,-0.7700,0.5000,0.5000
3.1800,-0.7200,0.5220,0.5220
3.1800,-0.6700,0.5385,0.5385
3.1800,-0.6200,0.5385,0.5385
3.1800,-0.5700,0.5220,0.5220
3.1300,-0.5200,0.5590,0.5590
3.1300,-0.4700,0.5523,0.5523
3.1300,-0.4200,0.5500,0.5500
3.0800,-0.3700,0.6000,0.6000
3.0300,-0.3700,0.6103,0.6103
2.9800,-0.3200,0.6265,0.6265
2.9300,-0.3200,0.6042,0.6042
2.8800,-0.3200,0.5852,0.5852
2.8300,-0.2700,0.6185,0.6185
2.7800,-0.2700,0.6083,0.6083
2.7300,-0.2200,0.6519,0.6519
2.6800,-0.2200,0.6500,0.6500
2.6300,-0.2200,0.6325,0.6325
2.5800,-0.2200,0.6185,0.6185
2.5300,-0.1700,0.6576,0.6576
2.4800,-0.1700,0.6519,0.6519
2.4300,-0.1700,0.6500,0.6500
2.3800,-0.1200,0.7000,0.7000
2.3300,-0.1200,0.6964,0.6964
2.2800,-0.1200,0.6801,0.6801
2.2300,-0.0700,0.7159,0.7159
2.1800,-0.0700,0.7071,0.7071
2.1300,-0.0700,0.7018,0.7018
2.0800,-0.0700,0.7000,0.7000
2.0300,-0.0700,0.6964,0.6964
1.9800,-0.0700,0.6801,0.6801
1.9300,-0.0200,0.7159,0.7159
1.8800,-0.0200,0.7071,0.7071
1.8300,-0.0200,0.7018,0.7018
1.7800,-0.0200,0.7000,0.7000
1.7300,0.0300,0.7280,0.7280
1.6800,0.0300,0.7433,0.7433
1.6300,0.0300,0.7433,0.7433
1.5800,0.0300,0.7280,0.7280
1.5300,0.0300,0.7159,0.7159
1.4800,0.0300,0.7071,0.7071
1.4300,0.0300,0.7018,0.7018
1.3800,0.0800,0.7500,0.7500
1.3300,0.0800,0.7500,0.7500
1.2800,0.0800,0.7500,0.7500
1.2300,0.0800,0.7500,0.7500
1.1800,0.0800,0.7433,0.7433
1.1300,0.0800,0.7280,0.7280
1.0800,0.0800,0.7159,0.7159
1.0300,0.0800,0.7071,0.7071
0.9800,0.0800,0.7018,0.7018
0.9300,0.0800,0.7000,0.7000
0.8800,0.0800,0.7000,0.7000
0.8300,0.1300,0.7500,0.7500
0.7800,0.1300,0.7500,0.7500
0.7300,0.1300,0.7500,0.7500
0.6800,0.1300,0.7500,0.7500
0.6300,0.1300,0.7500,0.7500
0.5800,0.1300,0.7500,0.7500
0.5300,0.1300,0.7500,0.7500
0.4800,0.1300,0.7500,0.7500
0.4300,0.1300,0.7500,0.7500
0.3800,0.1300,0.7500,0.7500
0.3300,0.1300,0.7500,0.7500
0.2800,0.1800,0.8000,0.8000
0.2300,0.1800,0.8000,0.8000
0.1800,0.1800,0.8000,0.8000
0.1300,0.1800,0.8000,0.8000
0.0800,0.1800,0.8000,0.8000
0.0300,0.1800,0.8000,0.8000
-0.0200,0.1800,0.8000,0.8000
-0.0700,0.1800,0.8000,0.8000
-0.1200,0.1800,0.8000,0.8000
-0.1700,0.1800,0.8000,0.8000
