# x_m,y_m,w_tr_right_m,w_tr_left_m
1.6600,-2.4200,0.7382,0.7382
1.7100,-2.3700,0.7616,0.7616
1.7100,-2.3200,0.7433,0.7433
1.7600,-2.2700,0.7762,0.7762
1.7600,-2.2200,0.7649,0.7649
1.8100,-2.1700,0.8062,0.8062
1.8100,-2.1200,0.8016,0.8016
1.8100,-2.0700,0.8000,0.8000
1.7600,-2.0200,0.7500,0.7500
1.7600,-1.9700,0.7500,0.7500
1.7600,-1.9200,0.7500,0.7500
1.7600,-1.8700,0.7500,0.7500
1.7600,-1.8200,0.7517,0.7517
1.7100,-1.7700,0.7071,0.7071
1.7100,-1.7200,0.7159,0.7159
1.7100,-1.6700,0.7280,0.7280
1.6600,-1.6200,0.6964,0.6964
1.6600,-1.5700,0.7159,0.7159
1.6600,-1.5200,0.7382,0.7382
1.6100,-1.4700,0.7211,0.7211
1.6100,-1.4200,0.7500,0.7500
1.6100,-1.3700,0.7810,0.7810
1.5600,-1.3200,0.7778,0.7778
1.5600,-1.2700,0.7778,0.7778
1.5100,-1.2200,0.7778,0.7778
1.4600,-1.1700,0.7778,0.7778
1.4100,-1.1200,0.7778,0.7778
1.3600,-1.0700,0.7778,0.7778
1.3100,-1.0200,0.7778,0.7778
1.2600,-0.9700,0.7778,0.7778
1.2600,-0.9200,0.7500,0.7500
1.2100,-0.8700,0.7632,0.7632
1.1600,-0.8200,0.7778,0.7778
1.1100,-0.7700,0.7632,0.7632
1.0600,-0.7200,0.7500,0.7500
1.0100,-0.6700,0.7433,0.7433
0.9600,-0.6200,0.7433,0.7433
0.9600,-0.5700,0.7433,0.7433
0.9100,-0.5200,0.7500,0.7500
0.8600,-0.4700,0.7632,0.7632
0.8100,-0.4200,0.7778,0.7778
0.7600,-0.3700,0.7778,0.7778
0.7100,-0.3200,0.7778,0.7778
0.6600,-0.2700,0.7616,0.7616
0.6100,-0.2200,0.7280,0.7280
0.5600,-0.1700,0.6964,0.6964
0.5100,-0.1200,0.6708,0.6708
0.5100,-0.0700,0.6946,0.6946
0.4600,-0.0200,0.6801,0.6801
0.4600,0.0300,0.7106,0.7106
0.4100,0.0800,0.6801,0.6801
0.3600,0.1300,0.6500,0.6500
0.3100,0.1800,0.6265,0.6265
0.2600,0.2300,0.6103,0.6103
0.2600,0.2800,0.6185,0.6185
0.2100,0.3300,0.5852,0.5852
0.1600,0.3800,0.5500,0.5500
0.1100,0.3800,0.5500,0.5500
0.0600,0.3800,0.5523,0.5523
0.0100,0.3800,0.5590,0.5590
-0.0400,0.3800,0.5385,0.5385
-0.0900,0.3800,0.5220,0.5220
-0.1400,0.3800,0.5099,0.5099
-0.1900,0.3800,0.5025,0.5025
-0.2400,0.3800,0.5000,0.5000
-0.2900,0.3800,0.5000,0.5000
-0.3400,0.3800,0.5000,0.5000
-0.3900,0.3800,0.5000,0.5000
-0.4400,0.4300,0.5523,0.5523
-0.4900,0.4300,0.5590,0.5590
-0.5400,0.4300,0.5701,0.5701
-0.5900,0.4300,0.5852,0.5852
-0.6400,0.4300,0.6042,0.6042
-0.6900,0.4300,0.6185,0.6185
-0.7400,0.4300,0.6325,0.6325
-0.7900,0.4300,0.6500,0.6500
-0.8400,0.4300,0.6576,0.6576
-0.8900,0.4300,0.6671,0.6671
-0.9400,0.3800,0.6500,0.6500
-0.9900,0.3300,0.6265,0.6265
-1.0400,0.3300,0.6500,0.6500
-1.0900,0.2800,0.6185,0.6185
-1.1400,0.2800,0.6325,0.6325
-1.1900,0.2800,0.6500,0.6500
-1.2400,0.2300,0.6265,0.6265
-1.2900,0.1800,0.6103,0.6103
-1.3400,0.1800,0.6403,0.6403
-1.3900,0.1300,0.6364,0.6364
-1.4400,0.1300,0.6265,0.6265
-1.4900,0.0800,0.6500,0.6500
-1.5400,0.0300,0.6325,0.6325
-1.5900,0.0300,0.6500,0.6500
-1.6400,-0.0200,0.6265,0.6265
-1.6900,-0.0200,0.6500,0.6500
-1.7400,-0.0700,0.6265,0.6265
-1.7900,-0.0700,0.6500,0.6500
-1.8400,-0.1200,0.6265,0.6265
-1.8900,-0.1200,0.6500,0.6500
-1.9400,-0.1700,0.6185,0.6185
-1.9900,-0.1700,0.6325,0.6325
-2.0400,-0.2200,0.6042,0.6042
-2.0900,-0.2200,0.6265,0.6265
-2.1400,-0.2700,0.6042,0.6042
-2.1900,-0.2700,0.6265,0.6265
-2.2400,-0.2700,0.6265,0.6265
-2.2900,-0.3200,0.6265,0.6265
-2.3400,-0.3200,0.6265,0.6265
-2.3900,-0.3700,0.6265,0.6265
-2.4400,-0.3700,0.6265,0.6265
-2.4900,-0.4200,0.6265,0.6265
-2.5400,-0.4200,0.6265,0.6265
-2.5900,-0.4700,0.6265,0.6265
-2.6400,-0.4700,0.6265,0.6265
-2.6900,-0.5200,0.6265,0.6265
-2.7400,-0.5200,0.6325,0.6325
-2.7900,-0.5200,0.6185,0.6185
-2.8400,-0.5700,0.6500,0.6500
-2.8900,-0.5700,0.6265,0.6265
-2.9400,-0.6200,0.6500,0.6500
-2.9900,-0.6200,0.6325,0.6325
-3.0400,-0.6700,0.6500,0.6500
-3.0900,-0.6700,0.6500,0.6500
-3.1400,-0.7200,0.6500,0.6500
-3.1900,-0.7200,0.6500,0.6500
-3.2400,-0.7200,0.6325,0.6325
-3.2900,-0.7700,0.6325,0.6325
-3.3400,-0.7700,0.6185,0.6185
-3.3900,-0.7700,0.6083,0.6083
-3.4400,-0.8200,0.5523,0.5523
-3.4900,-0.8200,0.5385,0.5385
-3.5400,-0.8200,0.5220,0.5220
-3.5900,-0.8700,0.4610,0.4610
-3.6400,-0.8700,0.4472,0.4472
-3.6900,-0.8700,0.4272,0.4272
-3.7400,-0.9200,0.3640,0.3640
-3.7900,-0.9200,0.3536,0.3536
-3.8400,-0.9200,0.3500,0.3500
-3.8900,-0.9700,0.3041,0.3041
-3.9400,-0.9700,0.3162,0.3162
-3.9900,-1.0200,0.2915,0.2915
-4.0400,-1.0200,0.3202,0.3202
-4.0900,-1.0700,0.3202,0.3202
-4.0900,-1.1200,0.2915,0.2915
-4.1400,-1.1700,0.3162,0.3162
